churn_id,subscription_id,churn_date,churn_reason
1,4,2020-07-20,price_too_high
2,5,2019-07-07,price_too_high
3,7,2020-10-02,poor_support
4,9,2024-06-28,lack_of_features
5,19,2020-12-10,lack_of_features
6,24,2024-07-16,lack_of_features
7,25,2023-01-14,price_too_high
8,28,2023-02-17,switched_competitor
9,30,2019-03-25,price_too_high
10,56,2025-07-24,switched_competitor
11,57,2026-09-13,low_usage
12,63,2020-08-27,price_too_high
13,64,2018-06-07,price_too_high
14,72,2019-09-28,price_too_high
15,78,2026-07-10,lack_of_features
16,84,2022-02-23,lack_of_features
17,86,2020-01-07,switched_competitor
18,91,2023-08-09,switched_competitor
19,95,2019-11-04,price_too_high
20,98,2022-03-11,switched_competitor
21,100,2025-02-19,lack_of_features
22,106,2027-09-09,switched_competitor
23,119,2024-10-29,low_usage
24,128,2022-03-05,lack_of_features
25,135,2024-08-16,low_usage
26,140,2020-09-09,switched_competitor
27,145,2026-11-14,poor_support
28,149,2024-12-09,price_too_high
29,155,2025-05-31,lack_of_features
30,157,2021-08-22,low_usage
31,158,2026-01-06,poor_support
32,162,2018-05-30,poor_support
33,172,2018-02-01,lack_of_features
34,173,2023-04-29,lack_of_features
35,176,2021-04-01,poor_support
36,177,2025-06-27,price_too_high
37,180,2025-09-12,price_too_high
38,183,2017-12-16,low_usage
39,190,2026-04-25,price_too_high
40,192,2019-02-05,poor_support
41,193,2022-06-22,poor_support
42,197,2025-07-23,switched_competitor
43,204,2022-10-15,poor_support
44,205,2021-10-11,price_too_high
45,206,2018-08-11,low_usage
46,217,2020-07-04,switched_competitor
47,222,2019-02-21,price_too_high
48,224,2023-04-18,low_usage
49,228,2021-09-18,price_too_high
50,231,2019-10-11,switched_competitor
51,235,2017-09-01,poor_support
52,236,2024-05-18,switched_competitor
53,241,2018-08-29,poor_support
54,247,2027-03-02,switched_competitor
55,251,2020-04-20,lack_of_features
56,258,2021-12-24,price_too_high
57,259,2018-05-11,price_too_high
58,260,2021-07-04,lack_of_features
59,262,2021-10-21,poor_support
60,265,2022-07-27,price_too_high
61,266,2024-11-18,lack_of_features
62,268,2025-12-23,price_too_high
63,272,2023-08-31,low_usage
64,283,2017-03-06,poor_support
65,284,2026-06-22,low_usage
66,291,2023-03-29,poor_support
67,299,2024-04-22,lack_of_features
68,300,2019-04-11,poor_support
69,313,2025-09-18,poor_support
70,315,2026-11-04,lack_of_features
71,317,2026-03-02,poor_support
72,327,2024-12-16,price_too_high
73,330,2022-10-27,switched_competitor
74,334,2021-07-27,lack_of_features
75,346,2020-10-24,switched_competitor
76,347,2018-06-09,lack_of_features
77,350,2024-08-08,lack_of_features
78,352,2026-04-25,low_usage
79,353,2018-11-01,low_usage
80,359,2026-12-29,poor_support
81,361,2025-11-15,switched_competitor
82,362,2023-01-04,lack_of_features
83,363,2018-09-11,poor_support
