subscription_id,customer_id,plan_id,start_date,end_date,status
1,1,2,2018-06-25,,active
2,2,1,2023-04-18,,active
3,3,2,2016-08-19,,active
4,4,2,2019-11-10,2020-07-20,cancelled
5,5,1,2018-11-16,2019-07-07,cancelled
6,6,2,2021-11-22,,active
7,7,1,2020-08-27,2020-10-02,cancelled
8,8,4,2022-07-24,,active
9,9,1,2022-04-09,2024-06-28,cancelled
10,10,3,2021-01-13,,active
11,11,1,2022-05-05,,active
12,12,3,2017-05-20,,active
13,13,1,2024-01-19,,active
14,14,2,2019-11-30,,active
15,15,3,2016-09-06,,active
16,16,2,2025-10-04,,active
17,17,4,2023-12-02,,active
18,18,4,2020-08-10,,active
19,19,2,2019-11-13,2020-12-10,cancelled
20,20,2,2017-12-29,,active
21,21,2,2017-03-11,,active
22,22,2,2025-07-31,,active
23,23,2,2025-04-06,,active
24,24,2,2023-07-20,2024-07-16,cancelled
25,25,3,2020-08-26,2023-01-14,cancelled
26,26,1,2021-03-18,,active
27,27,1,2018-12-07,,active
28,28,3,2021-08-25,2023-02-17,cancelled
29,29,2,2021-06-01,,active
30,30,1,2017-07-29,2019-03-25,cancelled
31,31,2,2018-04-23,,active
32,32,3,2025-02-11,,active
33,33,4,2019-07-16,,active
34,34,1,2023-07-25,,active
35,35,1,2021-11-14,,active
36,36,2,2017-04-27,,active
37,37,2,2021-10-07,,active
38,38,4,2025-05-09,,active
39,39,2,2020-03-31,,active
40,40,2,2023-06-18,,active
41,41,1,2017-10-21,,active
42,42,3,2020-06-02,,active
43,43,2,2020-11-20,,active
44,44,2,2025-06-23,,active
45,45,1,2017-09-30,,active
46,46,2,2024-04-29,,active
47,47,2,2016-03-17,,active
48,48,4,2025-08-12,,active
49,49,1,2017-03-07,,active
50,50,4,2017-01-10,,active
51,51,1,2017-02-24,,active
52,52,1,2017-04-29,,active
53,53,1,2025-11-11,,active
54,54,2,2026-02-03,,active
55,55,2,2021-06-22,,active
56,56,2,2023-12-20,2025-07-24,cancelled
57,57,3,2025-09-29,2026-09-13,cancelled
58,58,2,2022-02-06,,active
59,59,2,2023-08-09,,active
60,60,1,2025-02-09,,active
61,61,2,2017-11-20,,active
62,62,1,2025-07-30,,active
63,63,1,2019-08-25,2020-08-27,cancelled
64,64,1,2016-12-27,2018-06-07,cancelled
65,65,1,2021-10-16,,active
66,66,3,2023-09-03,,active
67,67,3,2018-09-17,,active
68,68,1,2023-06-23,,active
69,69,2,2016-10-27,,active
70,70,1,2022-03-06,,active
71,71,1,2018-10-08,,active
72,72,3,2019-02-16,2019-09-28,cancelled
73,73,4,2023-02-14,,active
74,74,1,2018-11-01,,active
75,75,1,2024-03-07,,active
76,76,2,2019-12-25,,active
77,77,2,2017-04-15,,active
78,78,4,2025-04-20,2026-07-10,cancelled
79,79,2,2019-02-28,,active
80,80,3,2023-07-07,,active
81,81,4,2018-02-04,,active
82,82,3,2023-07-20,,active
83,83,4,2019-07-12,,active
84,84,2,2021-06-16,2022-02-23,cancelled
85,85,4,2021-06-01,,active
86,86,1,2018-04-19,2020-01-07,cancelled
87,87,2,2019-02-23,,active
88,88,1,2021-05-11,,active
89,89,3,2021-08-05,,active
90,90,2,2019-01-05,,active
91,91,4,2021-11-09,2023-08-09,cancelled
92,92,1,2019-12-07,,active
93,93,2,2017-05-22,,active
94,94,1,2022-09-11,,active
95,95,1,2017-12-14,2019-11-04,cancelled
96,96,1,2024-12-11,,active
97,97,4,2023-11-15,,active
98,98,4,2021-07-06,2022-03-11,cancelled
99,99,2,2024-09-14,,active
100,100,3,2024-04-04,2025-02-19,cancelled
101,101,1,2025-01-17,,active
102,102,3,2020-10-18,,active
103,103,1,2020-02-11,,active
104,104,4,2023-01-18,,active
105,105,2,2023-04-06,,active
106,106,3,2025-11-29,2027-09-09,cancelled
107,107,2,2022-10-08,,active
108,108,2,2025-06-02,,active
109,109,1,2023-08-08,,active
110,110,1,2018-12-13,,active
111,111,1,2016-08-04,,active
112,112,4,2023-06-03,,active
113,113,2,2021-09-26,,active
114,114,1,2020-11-05,,active
115,115,2,2024-02-13,,active
116,116,3,2019-12-21,,active
117,117,2,2016-08-20,,active
118,118,3,2020-03-26,,active
119,119,1,2024-01-18,2024-10-29,cancelled
120,120,4,2018-01-31,,active
121,121,3,2016-07-30,,active
122,122,3,2022-12-07,,active
123,123,3,2020-04-22,,active
124,124,4,2018-03-02,,active
125,125,4,2023-06-18,,active
126,126,4,2023-04-30,,active
127,127,1,2023-12-10,,active
128,128,2,2020-10-10,2022-03-05,cancelled
129,129,1,2023-08-03,,active
130,130,1,2017-08-26,,active
131,131,2,2022-07-21,,active
132,132,2,2019-09-27,,active
133,133,4,2020-10-29,,active
134,134,2,2023-01-29,,active
135,135,2,2023-10-24,2024-08-16,cancelled
136,136,1,2020-04-29,,active
137,137,1,2022-01-03,,active
138,138,3,2023-11-08,,active
139,139,4,2021-06-25,,active
140,140,2,2019-05-22,2020-09-09,cancelled
141,141,1,2025-02-09,,active
142,142,2,2020-01-22,,active
143,143,4,2020-10-20,,active
144,144,4,2018-05-02,,active
145,145,1,2025-12-12,2026-11-14,cancelled
146,146,4,2020-06-16,,active
147,147,3,2024-06-30,,active
148,148,1,2025-09-27,,active
149,149,2,2023-04-07,2024-12-09,cancelled
150,150,1,2022-08-16,,active
151,151,1,2021-04-26,,active
152,152,4,2019-09-12,,active
153,153,3,2019-02-14,,active
154,154,2,2024-03-05,,active
155,155,4,2023-11-21,2025-05-31,cancelled
156,156,2,2019-07-11,,active
157,157,3,2020-09-09,2021-08-22,cancelled
158,158,1,2025-10-21,2026-01-06,cancelled
159,159,1,2022-12-30,,active
160,160,3,2016-10-27,,active
161,161,2,2017-09-04,,active
162,162,2,2016-06-28,2018-05-30,cancelled
163,163,2,2025-01-04,,active
164,164,3,2023-07-13,,active
165,165,2,2023-02-14,,active
166,166,2,2023-02-10,,active
167,167,4,2025-06-22,,active
168,168,3,2023-01-15,,active
169,169,2,2025-05-13,,active
170,170,4,2024-08-21,,active
171,171,3,2018-05-16,,active
172,172,2,2016-09-03,2018-02-01,cancelled
173,173,2,2021-06-16,2023-04-29,cancelled
174,174,3,2018-02-07,,active
175,175,2,2021-02-03,,active
176,176,2,2020-04-09,2021-04-01,cancelled
177,177,4,2024-10-04,2025-06-27,cancelled
178,178,3,2023-03-06,,active
179,179,1,2020-12-14,,active
180,180,2,2024-06-09,2025-09-12,cancelled
181,181,3,2025-07-24,,active
182,182,2,2019-05-23,,active
183,183,2,2016-11-21,2017-12-16,cancelled
184,184,1,2022-09-16,,active
185,185,4,2018-04-16,,active
186,186,3,2023-08-31,,active
187,187,2,2023-02-06,,active
188,188,2,2020-08-24,,active
189,189,2,2021-09-23,,active
190,190,3,2024-06-27,2026-04-25,cancelled
191,191,2,2021-01-27,,active
192,192,2,2017-10-25,2019-02-05,cancelled
193,193,1,2021-08-30,2022-06-22,cancelled
194,194,2,2020-04-11,,active
195,195,3,2019-02-28,,active
196,196,4,2024-08-23,,active
197,197,3,2023-12-19,2025-07-23,cancelled
198,198,1,2021-01-30,,active
199,199,2,2026-03-03,,active
200,200,1,2021-03-31,,active
201,201,1,2022-08-05,,active
202,202,1,2016-07-09,,active
203,203,2,2016-12-15,,active
204,204,1,2021-01-02,2022-10-15,cancelled
205,205,4,2019-05-27,2021-10-11,cancelled
206,206,1,2018-06-16,2018-08-11,cancelled
207,207,4,2023-08-28,,active
208,208,4,2021-02-27,,active
209,209,1,2025-05-01,,active
210,210,2,2018-11-30,,active
211,211,1,2021-03-08,,active
212,212,1,2018-07-20,,active
213,213,3,2022-11-26,,active
214,214,1,2022-11-15,,active
215,215,4,2020-08-21,,active
216,216,3,2020-02-11,,active
217,217,3,2019-12-07,2020-07-04,cancelled
218,218,3,2021-04-30,,active
219,219,2,2021-05-13,,active
220,220,2,2023-11-10,,active
221,221,2,2023-04-07,,active
222,222,3,2017-10-18,2019-02-21,cancelled
223,223,1,2016-09-13,,active
224,224,2,2022-04-21,2023-04-18,cancelled
225,225,1,2022-03-23,,active
226,226,1,2023-11-12,,active
227,227,2,2016-12-27,,active
228,228,2,2019-08-13,2021-09-18,cancelled
229,229,2,2020-02-12,,active
230,230,2,2020-11-16,,active
231,231,2,2019-01-28,2019-10-11,cancelled
232,232,2,2020-03-04,,active
233,233,2,2023-04-23,,active
234,234,1,2022-04-30,,active
235,235,1,2016-11-18,2017-09-01,cancelled
236,236,1,2023-12-18,2024-05-18,cancelled
237,237,3,2023-01-08,,active
238,238,2,2017-05-16,,active
239,239,1,2020-10-31,,active
240,240,2,2025-02-26,,active
241,241,3,2018-01-28,2018-08-29,cancelled
242,242,1,2019-10-29,,active
243,243,1,2023-10-28,,active
244,244,2,2020-06-14,,active
245,245,3,2017-08-31,,active
246,246,2,2022-06-27,,active
247,247,1,2025-09-29,2027-03-02,cancelled
248,248,2,2023-04-23,,active
249,249,1,2021-06-23,,active
250,250,1,2024-05-18,,active
251,251,3,2018-01-29,2020-04-20,cancelled
252,252,2,2025-09-13,,active
253,253,1,2025-08-15,,active
254,254,3,2016-08-15,,active
255,255,4,2022-02-07,,active
256,256,1,2017-05-16,,active
257,257,4,2025-02-23,,active
258,258,1,2021-05-31,2021-12-24,cancelled
259,259,2,2017-01-05,2018-05-11,cancelled
260,260,2,2020-10-10,2021-07-04,cancelled
261,261,1,2020-10-11,,active
262,262,2,2020-12-25,2021-10-21,cancelled
263,263,3,2016-12-07,,active
264,264,3,2021-04-01,,active
265,265,2,2021-09-28,2022-07-27,cancelled
266,266,3,2022-07-31,2024-11-18,cancelled
267,267,1,2022-03-12,,active
268,268,4,2023-12-19,2025-12-23,cancelled
269,269,1,2023-01-07,,active
270,270,4,2021-09-03,,active
271,271,2,2022-05-04,,active
272,272,1,2022-12-10,2023-08-31,cancelled
273,273,4,2019-12-12,,active
274,274,2,2025-02-18,,active
275,275,2,2018-08-22,,active
276,276,3,2018-09-20,,active
277,277,4,2024-08-04,,active
278,278,4,2025-09-29,,active
279,279,2,2021-06-28,,active
280,280,2,2020-10-21,,active
281,281,3,2023-10-28,,active
282,282,2,2017-09-13,,active
283,283,4,2016-11-06,2017-03-06,cancelled
284,284,1,2024-03-23,2026-06-22,cancelled
